2021-06-01 15:44:48.3091|20102|ERROR|Microsoft.EntityFrameworkCore.Database.Command|Failed executing DbCommand (22,098ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
CREATE TABLE "Categories" (
    "ID" integer NOT NULL GENERATED BY DEFAULT AS IDENTITY,
    "Name" text NULL,
    CONSTRAINT "PK_Categories" PRIMARY KEY ("ID")
); |url: |action: 
2021-06-01 16:48:56.1843||DEBUG|ProductManagement.API.Program|nothing happen |url: |action: 
2021-06-01 17:12:26.9484||DEBUG|ProductManagement.API.Program|nothing happen |url: |action: 
2021-06-01 17:23:35.1563||ERROR|ProductManagement.API.Middlewares.ErrorHandlingMiddleware|Value cannot be null. (Parameter 'logger') |url: https://localhost/api/auth/signup|action: SignUp
2021-06-01 17:24:58.2346||DEBUG|ProductManagement.API.Program|nothing happen |url: |action: 
2021-06-01 17:25:01.5161||INFO|ProductManagement.API.Controllers.AuthController|SignUp |url: https://localhost/api/auth/signup|action: SignUp
2021-06-01 17:25:01.5334|14|WARN|Microsoft.AspNetCore.Identity.UserManager|User (null) password validation failed: PasswordTooShort;PasswordRequiresNonAlphanumeric;PasswordRequiresLower;PasswordRequiresUpper. |url: https://localhost/api/auth/signup|action: SignUp
2021-06-01 17:25:19.6040||INFO|ProductManagement.API.Controllers.AuthController|SignUp |url: https://localhost/api/auth/signup|action: SignUp
2021-06-01 17:25:19.6062|14|WARN|Microsoft.AspNetCore.Identity.UserManager|User (null) password validation failed: PasswordRequiresNonAlphanumeric;PasswordRequiresLower. |url: https://localhost/api/auth/signup|action: SignUp
2021-06-01 17:25:24.0842||INFO|ProductManagement.API.Controllers.AuthController|SignUp |url: https://localhost/api/auth/signup|action: SignUp
2021-06-01 17:25:24.0842|14|WARN|Microsoft.AspNetCore.Identity.UserManager|User (null) password validation failed: PasswordRequiresLower. |url: https://localhost/api/auth/signup|action: SignUp
2021-06-01 17:25:35.6390||INFO|ProductManagement.API.Controllers.AuthController|SignUp |url: https://localhost/api/auth/signup|action: SignUp
2021-06-01 17:26:58.9674||INFO|ProductManagement.API.Controllers.AuthController|Create Roles |url: https://localhost/api/auth/roles|action: CreateRole
2021-06-01 17:30:48.6183||INFO|ProductManagement.API.Controllers.AuthController|Create Roles |url: https://localhost/api/auth/roles|action: CreateRole
2021-06-01 17:35:31.7041||DEBUG|ProductManagement.API.Program|nothing happen |url: |action: 
2021-06-01 17:35:48.6927||INFO|ProductManagement.API.Controllers.AuthController|Create Roles |url: https://localhost/api/auth/roles|action: CreateRole
2021-06-01 18:04:29.0514||DEBUG|ProductManagement.API.Program|nothing happen |url: |action: 
2021-06-01 18:08:52.7011||INFO|ProductManagement.API.Controllers.AuthController|Add User to Role |url: https://localhost/api/auth/addusertorole|action: AddUserToRole
2021-06-01 18:09:57.4819||INFO|ProductManagement.API.Controllers.AuthController|SignIn |url: https://localhost/api/auth/signin|action: SignIn
2021-06-01 18:10:59.3239||INFO|ProductManagement.Application.ProductsService.Services.ProductServices|GetAllProduct |url: https://localhost/api/products|action: GetAllProduct
